"ID","X","Y","ANGLE","HEAD","FAST_BREAK","PREDICTED_GOAL","XG","FOOTBALL_PITCH_CELL"
2013,1,1,147.285209417603232873388915429405205502,"Y","N","Y",0.98846354247289536,"X0|Y0"
2012,1,1,147.285209417603232873388915429405205502,"N","N","Y",0.99429262109808281,"X0|Y0"
2015,1,1,147.285209417603232873388915429405205502,"Y","Y","Y",0.99656857966388535,"X0|Y0"
2014,1,1,147.285209417603232873388915429405205502,"N","Y","Y",0.99830939339521507,"X0|Y0"
2017,1,3,114.885632095548287281907608022386815408,"Y","N","Y",0.92315392280865805,"X0|Y2"
2016,1,3,114.885632095548287281907608022386815408,"N","N","Y",0.96066925711969453,"X0|Y2"
2019,1,3,114.885632095548287281907608022386815408,"Y","Y","Y",0.97603012764109809,"X0|Y2"
2018,1,3,114.885632095548287281907608022386815408,"N","Y","Y",0.98806564450469514,"X0|Y2"
2021,1,5,30.1458595882589053369195155568073092584,"Y","N","N",0.065837242100943105,"X0|Y4"
2020,1,5,30.1458595882589053369195155568073092584,"N","N","N",0.12533696650630133,"X0|Y4"
2023,1,5,30.1458595882589053369195155568073092584,"Y","Y","N",0.19282447260748428,"X0|Y4"
2022,1,5,30.1458595882589053369195155568073092584,"N","Y","N",0.32692440218690033,"X0|Y4"
2026,1,7,11.30860800842768669880206071932567799944,"N","Y","N",0.134192954973648,"X0|Y6"
2025,1,7,11.30860800842768669880206071932567799944,"Y","N","N",0.021994568976924478,"X0|Y6"
2024,1,7,11.30860800842768669880206071932567799944,"N","N","N",0.043726588587177054,"X0|Y6"
2027,1,7,11.30860800842768669880206071932567799944,"Y","Y","N",0.070829577497569629,"X0|Y6"
2029,1,9,6.09034263229917006210385681009037566201,"Y","N","N",0.016124726617391869,"X0|Y8"
2028,1,9,6.09034263229917006210385681009037566201,"N","N","N",0.032248210772563041,"X0|Y8"
2031,1,9,6.09034263229917006210385681009037566201,"Y","Y","N",0.052628123784645993,"X0|Y8"
2030,1,9,6.09034263229917006210385681009037566201,"N","Y","N",0.10148714199571868,"X0|Y8"
2221,3,1,98.78983915306921061209935331178280877961,"Y","N","Y",0.81905730634012486,"X2|Y0"
2220,3,1,98.78983915306921061209935331178280877961,"N","N","Y",0.90199635703661796,"X2|Y0"
2223,3,1,98.78983915306921061209935331178280877961,"Y","Y","Y",0.93881278681658753,"X2|Y0"
2222,3,1,98.78983915306921061209935331178280877961,"N","Y","Y",0.96894084650768353,"X2|Y0"
2225,3,3,78.15821411699936727218441548374783907378,"Y","N","Y",0.56436873995650561,"X2|Y2"
2224,3,3,78.15821411699936727218441548374783907378,"N","N","Y",0.72482915702893302,"X2|Y2"
2227,3,3,78.15821411699936727218441548374783907378,"Y","Y","Y",0.81451455024987707,"X2|Y2"
2226,3,3,78.15821411699936727218441548374783907378,"N","Y","Y",0.89927981402543278,"X2|Y2"
2229,3,5,46.82415150162943413242111894010188181054,"Y","N","N",0.16231197115124693,"X2|Y4"
2228,3,5,46.82415150162943413242111894010188181054,"N","N","N",0.28262184032280296,"X2|Y4"
2231,3,5,46.82415150162943413242111894010188181054,"Y","Y","N",0.39641592945164239,"X2|Y4"
2230,3,5,46.82415150162943413242111894010188181054,"N","Y","Y",0.57180291282496609,"X2|Y4"
2233,3,7,26.21231969037368081630336922669213611438,"Y","N","N",0.052600895703361183,"X2|Y6"
2232,3,7,26.21231969037368081630336922669213611438,"N","N","N",0.10143734242835832,"X2|Y6"
2235,3,7,26.21231969037368081630336922669213611438,"Y","Y","N",0.15838643439935232,"X2|Y6"
2234,3,7,26.21231969037368081630336922669213611438,"N","Y","N",0.27674787733571943,"X2|Y6"
2237,3,9,15.99588207608057452518508372785908351623,"Y","N","N",0.029015160252832906,"X2|Y8"
2236,3,9,15.99588207608057452518508372785908351623,"N","N","N",0.057277707569170916,"X2|Y8"
2239,3,9,15.99588207608057452518508372785908351623,"Y","Y","N",0.091972234531712979,"X2|Y8"
2238,3,9,15.99588207608057452518508372785908351623,"N","Y","N",0.17077337917575372,"X2|Y8"
4319,5,1,70.99718790034675461666844250450042326864,"Y","N","N",0.45628213279184693,"X4|Y0"
4318,5,1,70.99718790034675461666844250450042326864,"N","N","Y",0.63048848627900378,"X4|Y0"
4321,5,1,70.99718790034675461666844250450042326864,"Y","Y","Y",0.73988771116180285,"X4|Y0"
4320,5,1,70.99718790034675461666844250450042326864,"N","Y","Y",0.85258449624047494,"X4|Y0"
4324,5,3,60.62215309475989930763083488202012696518,"N","Y","Y",0.7550805476447936,"X4|Y2"
4323,5,3,60.62215309475989930763083488202012696518,"Y","N","N",0.30907628822889299,"X4|Y2"
