"ID","MATCH_ID","EVENT_ID","TYPE_ID","PERIOD_ID","TIME_MIN","TIME_SEC","TEAM_ID","X","Y","PLAYER_ID","PLAYER_NAME","PENALTY","HEAD","RIGHT_FOOTED","OTHER_BODY_PART","REGULAR_PLAY","FAST_BREAK","SET_PIECE","FROM_CORNER","FREE_KICK","OWN_GOAL","ASSISTED","LEFT_FOOTED","TARGETED_LOW_LEFT","TARGETED_HIGH_LEFT","TARGETED_LOW_CENTER","TARGETED_HIGH_CENTER","TARGETED_LOW_RIGHT","TARGETED_HIGH_RIGHT","BLOCKED","TARGETED_CLOSE_LEFT","TARGETED_CLOSE_RIGHT","TARGETED_CLOSE_HIGH","TARGETED_CLOSE_LEFT_AND_HIGH","TARGETED_CLOSE_RIGHT_AND_HIGH","PROJECTED_GOAL_MOUTH_Y","PROJECTED_GOAL_MOUTH_Z","DEFLECTION","HIT_WOODWORK","BIG_CHANCE","INDIVIDUAL_CHANCE","HIT_RIGHT_POST","HIT_LEFT_POST","HIT_BAR","OUT_ON_SIDELINE","KICKOFF","FIRST_TOUCH","NOT_ASSISTED","EVENT_TYPE_NAME","TEAM_NAME","IS_GOAL","GOAL_CNT","RESULT","TEAM_SIDE","X_REL_PC","Y_REL_PC","X_REL_M","Y_REL_M","X_REL_M_TEAM","Y_REL_M_TEAM","DISTANCE","DISTANCE_BUCKET","EVENT_COUNT","FOOTBALL_PITCH_CELL","MATCH_DATE"
1127067122,"9u7vaxsp2apfb7s8fvv5l0nze",348,15,1,40,59,"",93.4,34,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","47.1","13.9","N","N","N","N","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Attempt Saved","home",6.6,-16,6.864,-10.88,6.864,10.88,12.86424875381380364265169008704440279813,13,1,"X6|Y-12",13-JAN-18
1401991952,"9u7vaxsp2apfb7s8fvv5l0nze",368,15,1,42,17,"",76.8,35.4,"","anonymized","N","N","N","N","Y","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N","N","50.0","0.6","N","N","N","Y","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Attempt Saved","home",23.2,-14.6,24.128,-9.928,24.128,9.928,26.09071804301292126475569979085908887399,27,1,"X24|Y-10",13-JAN-18
2047260533,"9u7vaxsp2apfb7s8fvv5l0nze",408,15,2,47,43,"",95.2,43.3,"","anonymized","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Attempt Saved","home",4.8,-6.7,4.992,-4.556,4.992,4.556,6.75849095582734356299182933720268513118,7,1,"X4|Y-6",13-JAN-18
1332961021,"9u7vaxsp2apfb7s8fvv5l0nze",761,15,2,48,33,"",79.9,50.9,"","anonymized","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Attempt Saved","home",20.1,0.9,20.904,0.612,20.904,-0.612,20.91295674934560753824472406337276697424,21,1,"X20|Y0",13-JAN-18
1358524252,"9u7vaxsp2apfb7s8fvv5l0nze",448,13,2,50,48,"",75.2,50.6,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","59.7","6.9","N","N","N","Y","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Miss","home",24.8,0.6,25.792,0.408,25.792,-0.408,25.79522684529058372048822277184721579875,26,1,"X24|Y0",13-JAN-18
1475698746,"9u7vaxsp2apfb7s8fvv5l0nze",474,16,2,54,5,"",92.2,46.6,"","anonymized","N","Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","46.4","32.9","Y","Y","N","N","N","N","Y","N","N","Y","N","Shot","anonymized","Y",1,"Goal","home",7.8,-3.4,8.112,-2.312,8.112,2.312,8.43503930044193688580708164507088535308,9,1,"X8|Y-4",13-JAN-18
1579639059,"9u7vaxsp2apfb7s8fvv5l0nze",620,13,2,66,40,"",88.6,42.2,"","anonymized","N","N","N","N","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","52.6","81.9","N","N","N","N","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Miss","away",11.4,-7.8,11.856,-5.304,92.144,-5.304,12.98834677701515636584699767616061056615,13,1,"X10|Y-6",13-JAN-18
1305417107,"9rcvvbyf7sfl4fltydjgh09re",65,13,1,4,31,"",95.4,65.5,"","anonymized","N","N","N","N","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","0.2","1.4","N","N","N","Y","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Miss","home",4.6,15.5,4.784,10.54,4.784,-10.54,11.5748976669342524256890986324636261038,12,1,"X4|Y10",01-JAN-18
1278906552,"9rcvvbyf7sfl4fltydjgh09re",66,16,1,4,32,"",97,37.1,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","50.2","5.1","N","N","Y","N","N","N","N","N","N","Y","N","Shot","anonymized","Y",1,"Goal","home",3,-12.9,3.12,-8.772,3.12,8.772,9.31033748045687117239660300325831762749,10,1,"X2|Y-10",01-JAN-18
1105710852,"9rcvvbyf7sfl4fltydjgh09re",106,13,1,11,38,"",89.2,62,"","anonymized","N","N","N","N","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","41.2","5.6","N","N","N","N","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Miss","away",10.8,12,11.232,8.16,92.768,8.16,13.88320654603971524446980674846745536146,14,1,"X10|Y8",01-JAN-18
